Number,NSEW
12,NE
13,NE
14,NW
24,NW
25,NW
26,SW
28,NW
29,NW
30,NW
31,NW
33,SW
34,NE
35,NE
36,NE
37,NE
38,NE
39,NW
40,NE
41,SW
42,SW
43,SE
44,NW
45,NW
46,SE
47,NW
48,SW
49,SW
50,SW
51,SW
52,SE
53,SW
54,NW
55,NE
56,SE
57,NE
58,SE
59,NE
60,SW
61,NE
62,NW
63,NW
64,NE
65,SW
66,NE
67,SW
68,NE
69,NW
70,NE
71,SW
72,NW
73,SW
74,NW
75,NE
76,SE
77,NW
78,NE
79,SW
80,SE
81,SW
82,SW
83,SE
84,SE
85,NW
86,NW
87,NW
88,SE
89,NE
90,NW
91,NE
92,NE
93,SW
94,NW
95,NW
96,NW
97,SW
98,SW
99,SW
100,NE
101,NW
102,NW
103,NE
104,SW
105,NW
106,SE
107,SE
108,SW
109,NW
110,SE
111,SW
112,SW
113,SE
114,NE
115,SE
116,NE
117,SW
118,SW
119,NE
120,SW
121,SW
122,NW
123,NE
124,SW
126,NE
127,NE
128,SW
129,NE
130,NW
131,SW
132,SE
133,NE
134,NE
135,NE
136,SE
137,NW
138,SW
139,SE
140,NE
141,SE
142,NE
143,NW
144,NW
145,SE
146,NW
147,SW
148,SW
149,NE
150,NW
151,NW
152,NW
153,SW
154,NW
155,NW
156,SE
157,SE
158,SW
159,NE
160,SE
161,NW
162,NW
163,NW
164,SW
165,SE
166,SW
167,NW
168,SE
169,SE
170,SE
171,SE
172,NE
173,SW
174,SW
175,NE
176,SW
178,NW
179,SW
180,NE
181,SE
182,SE
183,NE
184,SW
185,SW
186,NE
187,NE
188,SE
189,SW
190,NW
191,NW
192,NW
193,SE
194,SE
195,NW
196,SE
197,NW
198,SW
199,NW
200,NW
201,SE
202,NW
203,SW
204,NE
205,SE
206,NE
207,NE
208,NE
209,NE
210,SE
211,SE
212,SE
213,NW
214,NW
215,SE
216,NW
217,SE
218,NW
219,NE
220,SE
221,NE
222,SE
223,SW
224,NE
225,SE
226,NE
227,SE
228,SW
229,SE
230,SE
231,SW
232,SW
233,SE
234,SE
235,SW
236,NE
237,NE
238,SW
239,NE
240,NE
242,SE
243,SE
244,NW
245,SW
246,SE
247,SW
248,SW
249,SE
250,NE
251,SE
252,NE
253,NW
254,SE
255,NE
256,SE
257,SE
258,SE
259,SW
260,NE
261,SW
262,SW
263,NW
264,SE
265,SW
266,NW
267,SW
268,NE
269,NW
270,NW
271,SW
272,NW
273,SW
274,SE
275,SE
276,SW
277,NW
278,SW
279,SW
280,SE
281,SE
282,NW
283,NW
284,NW
285,SW
286,SE
287,SW
288,SE
289,NE
290,SE
291,NW
292,NW
293,NW
294,NW
295,NE
296,SW
297,SW
298,NE
299,NE
300,NE
301,NW
302,SW
303,SW
304,SW
305,SE
306,NW
307,NE
309,NW
310,NE
311,NW
312,NE
313,NE
314,NW
315,SE
316,NE
317,SE
318,NE
319,SE
320,SW
321,NE
322,SE
323,NE
324,SE
325,NE
326,SE
327,SE
328,SW
329,SE
330,NW
331,NW
332,SW
333,SW
335,NE
